timestamp,distance,heart_rate
2019-06-23 12:11:40,0.0,123
2019-06-23 12:14:24,551250921,-889939029,244.60000000000002,244.60000000000002,1343.14,6.545,6.545,146
2019-06-23 12:14:25,551250233,-889938832,244.79999999999995,244.79999999999995,1349.67,6.528,6.528,146
2019-06-23 12:14:26,551249519,-889938570,245.20000000000005,245.20000000000005,1356.53,6.864,6.864,147
2019-06-23 12:14:27,551248720,-889938263,245.20000000000005,245.20000000000005,1364.22,7.693,7.693,147
2019-06-23 12:14:28,551247924,-889938011,245.20000000000005,245.20000000000005,1371.81,7.583,7.583,148
2019-06-23 12:14:29,551247133,-889937821,246.0,246.0,1379.27,7.463,7.463,148
2019-06-23 12:14:30,551246312,-889937586,246.39999999999998,246.39999999999998,1387.05,7.783,7.783,149
2019-06-23 12:14:31,551245477,-889937404,246.20000000000005,246.20000000000005,1394.91,7.859,7.859,149
2019-06-23 12:14:32,551244583,-889937213,246.39999999999998,246.39999999999998,1403.33,8.413,8.413,149
2019-06-23 12:14:33,551243766,-889937098,246.39999999999998,246.39999999999998,1410.96,7.636,7.636,150
2019-06-23 12:14:34,551242977,-889937079,246.20000000000005,246.20000000000005,1418.31,7.349,7.349,150
2019-06-23 12:14:35,551242189,-889937156,246.20000000000005,246.20000000000005,1425.66,7.343,7.343,150
2019-06-23 12:14:36,551241420,-889937288,246.39999999999998,246.39999999999998,1432.86,7.206,7.206,151
2019-06-23 12:14:37,551240547,-889937544,246.60000000000002,246.60000000000002,1441.16,8.295,8.295,151
2019-06-23 12:14:38,551239670,-889937862,246.60000000000002,246.60000000000002,1449.57,8.411,8.411,151
2019-06-23 12:14:39,551238872,-889938308,249.20000000000005,249.20000000000005,1457.54,7.968,7.968,152
2019-06-23 12:14:40,551238209,-889938918,250.20000000000005,250.20000000000005,1464.85,7.315,7.315,152
2019-06-23 12:14:41,551237499,-889939520,248.0,248.0,1472.53,7.674,7.674,152
2019-06-23 12:14:42,551236763,-889940079,248.79999999999995,248.79999999999995,1480.26,7.736,7.736,153
2019-06-23 12:14:43,551236155,-889940655,249.60000000000002,249.60000000000002,1487.04,6.778,6.778,153
2019-06-23 12:14:44,551235536,-889941252,249.79999999999995,249.79999999999995,1493.98,6.932,6.932,153
2019-06-23 12:14:45,551234976,-889941932,249.39999999999998,249.39999999999998,1500.79,6.814,6.814,153
2019-06-23 12:14:46,551234582,-889942682,250.0,250.0,1506.86,6.071,6.071,153
2019-06-23 12:14:47,551234048,-889943352,250.60000000000002,250.60000000000002,1513.45,6.591,6.591,153
2019-06-23 12:14:48,551233465,-889943870,251.0,251.0,1519.83,6.375,6.375,153
2019-06-23 12:14:49,551232788,-889944352,251.0,251.0,1526.86,7.032,7.032,153
2019-06-23 12:14:50,551232130,-889944888,250.39999999999998,250.39999999999998,1533.89,7.029,7.029,153
2019-06-23 12:14:51,551231458,-889945456,250.60000000000002,250.60000000000002,1541.14,7.253,7.253,153
2019-06-23 12:14:52,551230876,-889945912,251.39999999999998,251.39999999999998,1547.31,6.162,6.162,153
2019-06-23 12:14:53,551230260,-889946367,251.20000000000005,251.20000000000005,1553.75,6.444,6.444,154
2019-06-23 12:14:54,551229661,-889946852,251.39999999999998,251.39999999999998,1560.15,6.394,6.394,154
2019-06-23 12:14:55,551228941,-889947421,251.39999999999998,251.39999999999998,1567.78,7.638,7.638,154
2019-06-23 12:14:56,551228356,-889947905,251.60000000000002,251.60000000000002,1574.07,6.283,6.283,153
2019-06-23 12:14:57,551227757,-889948407,251.60000000000002,251.60000000000002,1580.51,6.443,6.443,153
2019-06-23 12:14:58,551227179,-889948930,251.20000000000005,251.20000000000005,1586.86,6.352,6.352,153
2019-06-23 12:14:59,551226552,-889949599,251.39999999999998,251.39999999999998,1594.13,7.265,7.265,152
2019-06-23 12:15:00,551225845,-889950252,250.79999999999995,250.79999999999995,1601.94,7.813,7.813,152
2019-06-23 12:15:01,551225187,-889950813,251.0,251.0,1609.06,7.116,7.116,152
2019-06-23 12:15:02,551224536,-889951431,251.39999999999998,251.39999999999998,1616.32,7.259,7.259,151
2019-06-23 12:15:03,551223870,-889952044,251.0,251.0,1623.67,7.354,7.354,151
2019-06-23 12:15:04,551223213,-889952667,251.0,251.0,1630.99,7.317,7.317,150
2019-06-23 12:15:05,551222497,-889953401,251.39999999999998,251.39999999999998,1639.17,8.181,8.181,150
2019-06-23 12:15:06,551221757,-889954052,250.39999999999998,250.39999999999998,1647.24,8.066,8.066,149
